Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Brahmachari Mogudu,Relangi Narasimha Rao,,Raj-Koti,Rajendra Prasad,,,1994,1390
Captain,Kodi Ramakrishna,,,R. Sarathkumar,,,1994,1391
Criminal,Mahesh Bhatt,,M. M. Keeravani,Akkineni Nagarjuna,,,1994,1392
Gandeevam,Priyadarshan,,M. M. Keeravani,Akkineni Nageswara Rao,,,1994,1393
Gangmaster,B. Gopal,,,Rajasekhar,,,1994,1394
Gharana Alludu,Muppalaneni Shiva,,M. M. Keeravani,Krishna,,,1994,1395
Govinda Govinda,Ram Gopal Varma,,Raj-Koti,Nagarjuna Akkineni,,,1994,1396
Hello Brother,E. V. V. Satyanarayana,,Raj-Koti,Nagarjuna Akkineni,,,1994,1397
Jailor Gaari Abbayi,Sarath Babu,,,Krishnam Raju,,,1994,1398
Kooturu,Srinivasa Rao,,Nalluri Sudheer Kumar,Srikanth,,,1994,1399
Lucky Chance,Siva Nageswara Rao,,,Rajendra Prasad,,,1994,1400
M Dharmaraju M.A.,Ravi Raja Pinisetty,,Raj-Koti,Mohan Babu,,,1994,1401
Madam,Singeetam Srinivasa Rao,,,Rajendra Prasad,,,1994,1402
Maga Rayudu,E. V. V. Satyanarayana,,,Karthik,,,1994,1403
Muddula Priyudu,K. Raghavendra Rao,,M. M. Keeravani,Daggubati Venkatesh,,,1994,1404
Mugguru Monagallu,K. Raghavendra Rao,,Vidyasagar,Chiranjeevi,,,1994,1405
Number One,S. V. Krishna Reddy,,S. V. Krishna Reddy,Krishna,,,1994,1406
Palnati Pourusham,Muthyala Subbaiah,,A. R. Rahman,Krishnam Raju,,,1994,1407
Pelli Koduku,Bapu,,M. M. Keeravani,Naresh,,,1994,1408
Pokkiri Raja,A. Kodandarami Reddy,,Raj-Koti,Daggubati Venkatesh,,,1994,1409
Punyabhoomi Naa Desam,A. Kodandarami Reddy,,Bappi Lahiri,Mohan Babu,,,1994,1410
S. P. Parasuram,Raviraja Pinisetty,,M. M. Keeravani,Chiranjeevi,,,1994,1411
Shubhalagnam,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapathi Babu,,,1994,1412
Super Police,K. Muralimohan Rao,,A. R. Rahman,Daggubati Venkatesh,,,1994,1413
Teerpu,Uppalapati Narayana Rao,,,Akkineni Nageswara Rao,,,1994,1414
Top Hero,S. V. Krishna Reddy,,S. V. Krishna Reddy,Balakrishna,,,1994,1415
Vaddu Bava Thappu,K. Ajay Kumar,,,Rajendra Prasad,,,1994,1416
Yamaleela,S. V. Krishna Reddy,,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1994,1417
Aadaalla Majaka,Muthyala Subbaiah,,,Vikram,,,1995,1418
Aayanaki Iddaru,E. V. V. Satyanarayana,,,Jagapati Babu,,,1995,1419
Adavi Dora,K. Sadasivarao,,,Sobhan Babu,,,1995,1420
Alluda Majaka,E. V. V. Satyanarayana,,Koti,Chiranjeevi,,,1995,1421
Amma Donga,Sagar,,Raj-Koti,Krishna,,,1995,1422
Ammoru,Kodi Ramakrishna,,Sri,Suresh,,,1995,1423
Aunty,Mouli,,,Jayasudha,,,1995,1424
Ayanaku Iddaru,E. V. V. Satyanarayana,,Koti,Jagapathi Babu,,,1995,1425
Bhale Bullodu,Sarath Babu,,,Jagapathi Babu,,,1995,1426
Big Boss,Vijaya Bapineedu,,Raj-Koti,Chiranjeevi,,,1995,1427
Chilakapachcha Kaapuram,Kodi Ramakrishna,,,Jagapathi Babu,,,1995,1428
Criminal,K. S. Rama Rao,,M. M. Keeravani,Nagarjuna Akkineni,,,1995,1429
Ghatotkachudu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Satyanarayana Kaikala,,,1995,1430
Gharana Bullodu,K. Raghavendra Rao,,M. M. Keeravani,Akkineni Nagarjuna,,,1995,1431
God Father,Kodi Ramakrishna,,,Vinod Kumar,,,1995,1432
Ketu Duplicate,Relangi Narasimha Rao,,Koti,Rajendra Prasad,,,1995,1433
Lingababu Love Story,Vamsy,,,Rajendra Prasad,,,1995,1434
Maato Pettukoku,A. Kodandarami Reddy,,Madhavapeddi Suresh,Nandamuri Balakrishna,,,1995,1435
Maya Bazaar,Dasari Narayana Rao,,,ANR,,,1995,1436
Money Money,Shiva Nageswara Rao,,K. Srinivas,Jagapathi Babu,,,1995,1437
Mounam,C. Umamaheshwara Rao,,,Arvind Swamy,,,1995,1438
Mummy Mee Aayanochadu,K. Ajay Kumar,,,Rajendra Prasad,,,1995,1439
Nirantharam,,,,Raghubir Yadav,,,1995,1440
Pedarayudu,Raviraja Pinisetty,,Koti,Mohan Babu,,,1995,1441
Pelli Sandadi,K. Raghavendra Rao,,M. M. Keeravani,Srikanth,,,1995,1442
Pokiri Raja,A. Kodandarami Reddy,,,Daggubati Venkatesh,,,1995,1443
Punya Bhoomi Naa Desam,A. Kodandarami Reddy,,,Mohan Babu,,,1995,1444
Raja Simham,,,,Rajasekhar,,,1995,1445
Rikshavodu,Kodi Ramakrishna,,Raj-Koti,Chiranjeevi,,,1995,1446
Sankalpam,A. M. Rathnam,,,Jagapati Babu,,,1995,1447
Sisindri,Shiva Nageswara Rao,,Raj,Nagarjuna,,,1995,1448
Sogasu Chuda Taramaa?,Gunasekhar,,Bharathwaj,Naresh,,,1995,1449
Stri,K. S. Sethumadhavan,,,Rohini,,,1995,1450
Subha Sankalpam,K. Vishwanath,,M. M. Keeravani,Kamal Haasan,,,1995,1451
Subhamastu,Bhimaneni Srinivasa Rao,,,Jagapati Babu,,,1995,1452
Taj Mahal,Muppulaleni Siva,,M. M. Sreelekha,Srikanth,,,1995,1453
Vajram,S. V. Krishna Reddy,,,Akkineni Nagarjuna,,,1995,1454
Adirindi Alludu,E. V. V. Satyanarayana,,M. M. Keeravani,Mohan Babu,,,1996,1455
Akka! Bagunnava?,Mouli,,Koti,Vikram,,,1996,1456
Akkada Ammayi Ikkada Abbayi,E. V. V. Satyanarayana,,Koti,Pawan Kalyan,,,1996,1457
Akkum Bakkum,K. Ram Gopal,,Vidyasagar,Ali,,,1996,1458
Amma Ammani Choodalanivundi,Sagar,,Vandemataram Srinivas,"Vinod Kumar, ",,,1996,1459
Amma Durgamma,Vandemataram Srinivas,,Somayajula Murthy,Shashikumar,,,1996,1460
Bala Ramayanam,Guna Sekhar,,Madavapeddi Suresh,Jr. NTR,,,1996,1461
Bombay Priyudu,K. Raghavendra Rao,,M. M. Keeravani,J. D. Chakravarthy,,,1996,1462
Chinnabbayi,K. Vishwanath,,Illyaraja,Daggubati Venkatesh,,,1996,1463
Deyyam,Ram Gopal Varma,,Vishwanatha Satyanarayana,J. D. Chakravarthy,,,1996,1464
Dharma Chakram,Suresh Krishna,,M. M. Sreelekha,Daggubati Venkatesh,,,1996,1465
Drohi,P. C. Sreeram,,Deva,Kamal Hassan,,,1996,1466
Family,Vijaya Bapineedu,,,Rajendra Prasad,,,1996,1467
Gulabi,Krishna Vamshi,,Shashi Pritam,J. D. Chakravarthy,,,1996,1468
Gunshot,S. V. Krishna Reddy,,,Ali,,,1996,1469
Intlo Illalu Vantintlo Priyuralu,E. V. V. Satyanarayana,,Koti,Daggubati Venkatesh,,,1996,1470
Jabilamma Pelli,A. Kodandarami Reddy,,M. M. Keeravani,Jagapathi Babu,,,1996,1471
Ladies Doctor,Ramu,,,Rajendra Prasad,,,1996,1472
Little Soldiers,Gangaraju Gunnam,,Sri,Baladitya,,,1996,1473
Maa Aavida Collector,Kodi Ramakrishna,,Vandemataram Srinivas,Jagapathi Babu,,,1996,1474
Maavichiguru,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapathi Babu,,,1996,1475
Merupu,Gopichand Nadella,,Ramani Bharadwaja,Vikram,,,1996,1476
Mrugam,Rudrajj Suresh Varma,,Raj,J. D. Chakravarthy,,,1996,1477
Ninne Pelladata,Krishna Vamsi,,Sandeep Chowta,Nagarjuna Akkineni,,,1996,1478
Ooha,Sivala Prabhakar,,Vidya Sagar,Vikram,,,1996,1479
Pavitra Bandham,Muthyala Subbaiah,,M. M. Keeravani,Daggubati Venkatesh,,,1996,1480
Pittala Dora,Sana Yadireddy,,Ramani Bharadwaja,Aali,,,1996,1481
Rambantu,Bapu,,M. M. Keeravani,Rajendra Prasad,,,1996,1482
Ramudochadu,A. Kodandarami Reddy,,Raj,Akkineni Nagarjuna,,,1996,1483
Rayudugaru Nayudugaru,Dasari Narayana Rao,,M. M. Keeravani,ANR,,,1996,1484
Sahasa Veerudu Sagara Kanya,K. Raghavendra Rao,,M. M. Keeravani,Daggubati Venkatesh,,,1996,1485
Sarada Bullodu,Raviraja Pinisetty,,Koti,Daggubati Venkatesh,,,1996,1486
Sri Krishnarjuna Vijayam,Singeetam Srinivasa Rao,,Madavapeddi Suresh,Balakrishna,,,1996,1487
Srikaram,C. Uma Maheswara Rao,,,Jagapati Babu,,,1996,1488
Vamsanikokkadu,Sarath,,Koti,Balakrishna,,,1996,1489
Vinodam,S. V. Krishna Reddy,,,Meka Srikanth,,,1996,1490
Aahvaanam,S. V. Krishna Reddy,,S. V. Krishna Reddy,Srikanth,,,1997,1491
Aaro Pranam,K. Veery,,K. Veeru,Vineeth,,,1997,1492
Abbaigari Pelli,Sharath,,Koti,Suman,,,1997,1493
Anaganaga Oka Roju,Ram Gopal Varma,,Sri,J. D. Chakravarthy,,,1997,1494
Annamayya,K. Raghavendra Rao,,M. M. Keeravani,Nagarjuna Akkineni,,,1997,1495
Chilakkottudu,E. V. V. Satyanarayana,,Koti,Jagapati Babu,,,1997,1496
Chinnabbayi,K. Viswanath,,Ilayaraja,Daggubati Venkatesh,,,1997,1497
Collector Garu,B. Gopal,,Koti,Mohan Babu,,,1997,1498
Devudu,Raviraja Pinisetty,,Sirpy,Balakrishna,,,1997,1499
Dongaata,Kodi Ramakrishna,,Ramani Bhardawaj,Jagapati Babu,,,1997,1500
Egire Paavurama,S. V. Krishna Reddy,,S. V. Krishna Reddy,Srikanth,,,1997,1501
Gokulamlo Seeta,Muthyala Subbaiah,,Koti,Pawan Kalyan,,,1997,1502
Hitler,Muthyala Subbaiah,,Koti,Chiranjeevi,,,1997,1503
Jai Bajarangabhali,T. Prabhakar,,Koti,Rajendra Prasad,,,1997,1504
Kurralla Rajyam,Boyapati Kameswara Rao,,Vandemataram. Sreenivas,Vikram,,,1997,1505
Maa Nannaku Pelli,E. V. V. Satyanarayana,,Koti,Krishnam Raju,,,1997,1506
Mama Bagunnava,Kodi Ramakrishna,,Vidya Sagar,Rajendra Prasad,,,1997,1507
Master,Suresh Krishna,,Deva,Chiranjeevi,,,1997,1508
Muddula Mogudu,A. Kodandarami Reddy,,Koti,Balakrishna,,,1997,1509
Oka Chinna Maata,Muthyala Subbaiah,,Ramani Bhardawaj,Jagapati Babu,,,1997,1510
Omkaram,Upendra,,Hamsalekha,Rajasekhar,,,1997,1511
Osey Ramulamma,Dasari Narayana Rao,,Vandemataram Srinivas,Vijayashanti,,,1997,1512
Peddannayya,Sharat,,Koti,Balakrishna,,,1997,1513
Pelli,Kodi Ramakrishna,,S. A. Rajkumar,"Vadde Naveen, ",,,1997,1514
Pelli Chesukundam,Muthyala Subbaiah,,Koti,Venkatesh,,,1997,1515
Pelli Pandiri,Kodi Ramakrishna,,Vandemataram Srinivas,Jagapati Babu,,,1997,1516
Preminchukundam Raa,Jayanth C. Paranjee,,Mahesh Mahadevan,Daggubati Venkatesh,,,1997,1517
Priya O Priya,Muppulaneni Shiva,,Koti,"Vadde Naveen, ",,,1997,1518
Priyaragalu,A. Kodandarami Reddy,,M. M. Keeravani,Jagapati Babu,,,1997,1519
Sindhooram,Krishna Vamsi,,Sri Kommineni,Ravi Teja,,,1997,1520
Subhakankshalu,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Jagapathi Babu,,,1997,1521
Surya Putrulu,C. Umamaheswara Rao,,M. M. Keeravani,Mammootty,,,1997,1522
Suswagatham,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Pawan Kalyan,,,1997,1523
Taraka Ramudu,R. V. Udayakumar,,Koti,Srikanth,,,1997,1524
Thaali,E. V. V. Satyanarayana,,Vidya Sagar,Srikanth,,,1997,1525
Veedevadandi Babu,E. V. V. Satyanarayana,,Sirpy,Mohan Babu,,,1997,1526
Ugadi,S. V. Krishna Reddy,,S. V. Krishna Reddy,S. V. Krishna Reddy,,,1997,1527
Aahaa..!,Suresh Krishna,,Vandemataram Srinivas,Jagapathi Babu,,,1998,1528
Aavida Maa Aavide,E. V. V. Satyanarayana,,Sri,Nagarjuna Akkineni,,,1998,1529
Abhishekam,S. V. Krishna Reddy,,S. V. Krishna Reddy,"S. V. Krishna Reddy, ",,,1998,1530
All Rounder,T. Prabhakar,,Veena Pani,Rajendra Prasad,,,1998,1531
Andaru Herole,K. Umakanth,,Vijay,Ali,,,1998,1532
Antahpuram,Krishna Vamsi,,Ilaiyaraaja,Soundarya,,,1998,1533
Auto Driver,Suresh Krishna,,Deva,Nagarjuna Akkineni,,,1998,1534
Ayanagaru,N Satya,,VidyaSagar,Srikanth,,,1998,1535
Bavagaru Bagunnara?,Jayanth C. Paranjee,,Mani Sharma,Chiranjeevi,,,1998,1536
Chandralekha,Krishna Vamsi,,Sandeep Chowta,Nagarjuna Akkineni,,,1998,1537
Choodalani Vundi,Gunasekhar,,Mani Sharma,Chiranjeevi,,,1998,1538
Daddy Daddy,Kodi Ramakrishna,,Vandemataram Srinivas,ANR,,,1998,1539
Deergha Sumangali Bhava,S. V. Krishna Reddy,,S. V. Krishna Reddy,Rajasekhar,,,1998,1540
Ganesh,Tirupathi Swamy,,Mani Sharma,Daggubati Venkatesh,,,1998,1541
Gillikajjalu,Muppulaleni Siva,,Koti,Srikanth,,,1998,1542
Kante Koothurne Kanu,Dasari Narayana Rao,,Vandemataram Srinivas,Dasari Narayana Rao,,,1998,1543
Kanyadanam,E. V. V. Satyanarayana,,Koti,Upendra,,,1998,1544
Love Story 1999,K. Raghavendra Rao,,Deva,Prabhu Deva,,,1998,1545
Maavidaakulu,E. V. V. Satyanarayana,,Koti,Jagapati Babu,,,1998,1546
Mee Aayana Jagratha,Muthyala Ramadas,,,Rajendra Prasad,,,1998,1547
Navvulata,Gopichand Nadella,,M.M. Srilekha,Rajendra Prasad,,,1998,1548
Nenu Premisthunnanu,E. V. V. Satyanarayana,,Sirpy,J. D. Chakravarthy,,,1998,1549
Ooyala,S. V. Krishna Reddy,,S. V. Krishna Reddy,Meka Srikanth,,,1998,1550
Pandaga,Sarath,,M.M. Keeravani,ANR,,,1998,1551
Paradesi,K. Raghavendra Rao,,M.M. Keeravani,"Viswas, Madhav, Tanooja",,,1998,1552
Pavitra Prema,Muthyala Subbaiah,,Koti,Nandamuri Balakrishna,,,1998,1553
Pelli Kanuka,Kodi Ramakrishna,,M.M.Keeravani,Jagapati Babu,,,1998,1554
Pelli Peetalu,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapati Babu,,,1998,1555
Premante Idera,Jayanth C. Paranjee,,Ramana Gogula,Daggubati Venkatesh,,,1998,1556
Prema Pallaki,Sana Yadireddy,,Krishna Neeraj,Suresh,,,1998,1557
Rana,A. Kodandarami Reddy,,Koti,Nandamuri Balakrishna,,,1998,1558
Raayudu,Ravi Raja Pinisetty,,Koti,Mohan Babu,,,1998,1559
Sivayya,Suresh Varma,,,Rajasekhar,,,1998,1560
Sri Sita Ramula Kalyanam Chootamu Raarandi,Y. V. S. Chowdary,,M.M.Keeravani,ANR,,,1998,1561
Srimathi Vellostha,K. Raghavendra Rao,,M. M. Keeravani,Jagapati Babu,,,1998,1562
Subhavartha,P. N. Ramachandra Rao,,Koti,Arjun,,,1998,1563
Sultan,Sarath,,Koti,Nandamuri Balakrishna,,,1998,1564
Suprabhatam,Bhimaneni Srinivasa Rao,,Vandemataram Srinivas,Srikanth,,,1998,1565
Suryavamsam,Bhimaneni Srinivasa Rao,,S. A. Rajkumar,Daggubati Venkatesh,,,1998,1566
Suryudu,Muthyala Subbaiah,,,Rajasekhar,,,1998,1567
Tholi Prema,A. Karunakaran,,Deva,Pawan Kalyan,,,1998,1568
Ulta Palta,Relangi Narasimha Rao,,M.M.Srilekha,Rajendra Prasad,,,1998,1569
W/o V. Vara Prasad,Vamsy,,M.M.Keeravani,Vineeth,,,1998,1570
Aavide Shyamala,Kodi Ramakrishna,,Madavapeddi Suresh,Prakash Raj,,,1999,1571
Alludugaaru Vachcharu,Ravi Raja Pinisetty,,M.M.Keeravani,Jagapati Babu,,,1999,1572
Ammo Polisollu,,,,"Siva Krishna, Ragini",,,1999,1573
Anaganaga Oka Ammai,Ramesh Sarangan,,Mani Sharma,Srikanth,,,1999,1574
Asala Sandadi,Anil Kishore,,Ramani Bharadwaj,Ali,,,1999,1575
Bobbili Vamsam,K. S. Adhyaman,,M. M. Srilekha,Rajasekhar,,,1999,1576
Chala Bagundi,E. V. V. Satyanarayana,,Koti,Srikanth,,,1999,1577
Chinni Chinni Aasa,,,Raj,Rajendra Prasad,,,1999,1578
Devi,Kodi Ramakrishna,,Devi Sri Prasad,Prema,,,1999,1579
Dollar Dreams,Sekhar Kammula,,,Satya Krishnan,,,1999,1580
English Pellam East Godavari Mogudu ,Doraswamy Raju,,Mani Sharma,Srikanth,,,1999,1581
Harischandraa,Thulasi Kumar,,Agosh,J. D. Chakravarthy,,,1999,1582
Hello Yama,Pavitran,,Vandemataram Srinivas,Suresh,,,1999,1583
Iddaru Mitrulu,K. Raghavendra Rao,,Mani Sharma,Chiranjeevi,,,1999,1584
Kaama,Ashok Kumar,,Adityan,"Vishal, Sunila, Urvashi",,,1999,1585
Krishna Babu,Muthyala Subbaiah,,Koti,Nandamuri Balakrishna,,,1999,1586
Maa Balaji,Kodi Ramakrishna,,Vandemataram Srinivas,"Vadde Naveen, ",,,1999,1587
Manasichi Choodu,Suresh Varma,,Mani Sharma,"Vadde Naveen, ",,,1999,1588
Manasulo Maata,S. V. Krishna Reddy,,S. V. Krishna Reddy,Jagapati Babu,,,1999,1589
Manavudu Danavudu,,,S. A. Rajkumar,Krishna,,,1999,1590
Manikyam,Mutyala Subbaiah,,S. A. Rajkumar,Srikanth,,,1999,1591
Maya,Rama Narayanan,,,Napolean,,,1999,1592
Mechanic Mavayya,Rajendra Singh,,M. M. Keeravani,Rajasekhar,,,1999,1593
Naa Hrudayamlo Nidurinche Cheli,AVS Adi Narayana,,Sri,"Vadde Naveen, ",,,1999,1594
Nee Kosam,Srinu Vaitla,,R. P. Patnaik,Ravi Teja,,,1999,1595
Neti Gandhi,E. V. V. Satyanarayana,,S. A. Rajkumar,Rajasekhar,,,1999,1596
Panchadara Chilaka,Kodi Ramakrishna,,S. A. Rajkumar,Srikanth,,,1999,1597
Pilla Nachindi,E. V. V. Satyanarayana,,Koti,Srikanth,,,1999,1598
Pedda Manushulu,Boyina Subba Rao,,Eeshwar,Suman,,,1999,1599
Prema Katha,Ram Gopal Varma,,Sandeep Chowta,Sumanth,,,1999,1600
Premaku Velayera,S. V. Krishna Reddy,,S. V. Krishna Reddy,J. D. Chakravarthy,,,1999,1601
Preminche Manasu,AVS Adi Narayana,,S. A. Rajkumar,Vadde Naveen,,,1999,1602
Preyasi Raave,Chandra Mahesh,,M. M. Srilekha,Srikanth,,,1999,1603
Raja,Muppulaneni Siva,,S. A. Rajkumar,Daggubati Venkatesh,,,1999,1604
Raja Kumarudu,K. Raghavendra Rao,,Mani Sharma,Mahesh Babu,,,1999,1605
Rajasthan,R. K. Selvamani,,Ilayaraja,Sharath Kumar,,,1999,1606
Ramasakkanodu,Sagar,,Koti,Suman,,,1999,1607
Ravoyi Chandamama,Jayanth C. Paranjee,,Mani Sharma,Nagarjuna Akkineni,,,1999,1608
Sambayya,K. S. Nageswara Rao,,Vandemataram Srinivas,Srihari,,,1999,1609
Samarasimha Reddy,B. Gopal,,Mani Sharma,Nandamuri Balakrishna,,,1999,1610
Samudram,Krishna Vamsi,,Shashi Pritham,Jagapati Babu,,,1999,1611
Seenu,Sashi,,Mani Sharma,Daggubati Venkatesh,,,1999,1612
Seetharama Raju,YVS Chowdhary,,M. M. Keeravani,Nagarjuna Akkineni,,,1999,1613
Sneham Kosam,K. S. Ravikumar,,S. A. Rajkumar,Chiranjeevi,,,1999,1614
Speed Dancer,Muppalaneni Shiva,,,Raghava Lawrence,,,1999,1615
Sri Ramulayya,Nimmala Shankar,,Vandemataram Srinivas,Mohan Babu,,,1999,1616
Sultan,Sarath,,Koti,Nandamuri Balakrishna,,,1999,1617
Swapnalokam,Bhimaneni Srinivasa Rao,,Vandemataram Srinivas,Jagapati Babu,,,1999,1618
Swayamvaram,K. Vijaya Bhaskar,,Vandemataram Srinivas,Venu,,,1999,1619
Thammudu,P. A. Arun Prasad,,Ramana Gogula,Pawan Kalyan,,,1999,1620
Telangana,,,Koti,Suresh,,,1999,1621
Veedu Samanyudu Kadhu,Uppalapati Narayana,,Vidhyasagar,Prakash Raj,,,1999,1622
Velugu Needalu,Mourya,,M. M. Sreelekha,"Venkat, ",,,1999,1623
Vichitram,Jandhyala,,Raj-Koti,"Gajjal Srinivas, ",,,1999,1624
Yamajathakudu,Nimmala Shankar,,Vandemataram Srinivas,Mohan Babu,,,1999,1625
Kalidas,H. M. Reddy,"Imperial Movi-Tone
",Not Known,T. P. Rajalakshmi,"Biographical
","31 October 1931
",1930,1626
Bhakta Prahlada,H. M. Reddy,Sri Krishna Film Company,Not Known,"Venkata Subbaiah Munipalle, ",Devotional,"6 February 1932
",1930,1627
Rama Paduka Pattabhishekam,Sarvottam Badami,"Sagar Movietone
",Not Known,C. S. R. Anjaneyulu,"Devotional
","
",1930,1628
Shakuntala,Sarvottam Badami,,Not Known,Yadavalli Suryanarayana,"Mythology
","
",1930,1629
Chintamani,Sadasiva Rao Kallakoori,,Not Known,"Master Baburao, Bhadracharyulu, Pulipati Venkateswarulu, P Ramatilakam, Parvatibai etc.","Devotional
","29 July 1933
",1930,1630
Prithvi Putra,Potina Srinivasa Rao,,Not Known,"Parepalli Satyannarayana, ","Devotional
","20 December 1933
",1930,1631
Prajvala Alapana,"Sadasiva Rao
",,Not Known,,,"
",1930,1632
Ramadasu,C. Pullaiah,,Not Known,Ghantasala Balaramayya,"Devotional
","2 September 1933
",1930,1633
Sati Savitri,C. Pullaiah,East India Film Company,Not Known,"Nidumukkala Subba Rao, Rama Thilakam, ","Devotional
","5 February 1933
",1930,1634
"Sathi Savitri
",H. M. Reddy,"Bharat MovieTones
",Not Known,"Kanthamani, V.V. Subba Rao, K.L. Kantham, Hem Singh
","Devotional
","4 February 1933
",1930,1635
Athulya Sahavasam,"Pullaya
",,Not Known,,,"
",1930,1636
Ahalya,"K. Rangarao
",,Not Known,,,"
",1930,1637
Lava Kusa,C. Pullaiah,East India Film Company,Not Known,"Parupalli Subba Rao, ","Devotional
","22 December 1934
",1930,1638
Sita Kalyanam,"C. Narasimha Rao
",Vel Pictures,Not Known,"Madhavapeddi Venkatramaiah, Master Kalyani, Bezawada Rajarathnam, P. Rama Thilakam, Nageswara Rao, Lanka Krishnamurthy","Devotional
","6 October 1934
",1930,1639
Bhakta Kuchela,"K. Sadasivarao
","Radha Film Company
",Not Known,K. Raghuramaiah,"Devotional
","20 July 1935
",1930,1640
Harishchandra,"T. A. Raman
",Star Combines,Not Known,"Adhanki Srirama Murthy, ","Devotional
","9 November 1935
",1930,1641
Sati Anasuya,"Ahin Chowdhary
",,Not Known,"Dasari Kotaratnam, Tungala Chalapati",Devotional,"
",1930,1642
Sati Sakkubai,"Charu Rai
",,Not Known,"Tungala Chalapati Rao, Dasari Kotiratnam, Suravarapu Venkateswarulu, Dasari Anjani Bai","Devotional
","21 May 1935
",1930,1643
Sri Krishna Leelalu,"C. Narasimha Rao
",Vel Pictures,Not Known,S. Rajeswara Rao,,"30 November 1935
",1930,1644
Sri Krishna Tulabharam,C. Pullaiah,East India Film Company,Not Known,"Ramanatha Sastri Kapilavayi, ",Devotional,"22 April 1935
",1930,1645
Rani Premalata,"
",,Not Known,,,"
",1930,1646
Dhruva (Also Known as Dhruva Vijayamu),C. Pullaiah,East India Film Company,Not Known,"C. Narayanaswamy, T. Venkateswarulu, M. Hemalata, Sitaram, M. Rangachari, A. Narasimha Rao, Lalitha",Mythology,"
",1930,1647
Draupadi Maanasamrakshana,"N. Jaganatha Swamy
",Lakshmi Films,Not Known,Bellary Raghava,Mythology,"24 March 1936
",1930,1648
Draupadi Vastrapaharanam,"H. Vishwanath Babu
",Saraswati Talkies,Not Known,Yadavalli Suryanarayana,Mythology,"29 February 1936
",1930,1649
Kabir,"S. Rangaswamy
",Oriental Classical Films,Not Known,,,"5 February 1936
",1930,1650
Lanka Dahanam,"K. Sadasivarao
",,Not Known,K. Raghuramaiah,Mythology,"
",1930,1651
Mayabazar (Also Known as Sasirekha Parinayam),"P. V. Das
",Vel Pictures,Not Known,"Yadavalli Nageswara Rao, ",Mythology,"
",1930,1652
Premavijayam,"Krithiventi Nageshwara Rao
",,Not Known,"Ranga Rao, P. S. Sharma, B. Rajalakshma, P. Rama Rao, ",,"
",1930,1653
Premilarjuneyam,"
",,Not Known,,,"
",1930,1654
Sampoorna Ramayanam,"I. Nagabhushana Rao, N. B. Narayana
",Durga Cinetone,Not Known,"B. Narayana Murthy, M. Narayana Rao, ",Devotional,"
",1930,1655
Sati Tulasi,"C. Narasimha Rao
",,Not Known,Ghantasala Balaramayya,Mythology,"
",1930,1656
Sulochana,"
",,Not Known,,,"
",1930,1657
Veerabhimanyu,"V. D. Ameen
",Select Pctures Circuit,Not Known,Kanchanamala,Mythology,"
",1930,1658
Balayogini,K. Subrahmanyam,Mahalakshmi Studio,Not Known,Baby Saroja,Drama,"
",1930,1659
Dasavataramulu,"K. V. Bhave
",Saraswathi Cinetone,Not Known,"Parepalli Subba Rao, Mandha Subbarao, Dronamraju Narasimharao, Tigela Venkateswarlu, Koderu Rajasodarulu, Dommiti Satyanarayana",Mythology,"27 September 1937
",1930,1660
Kanakatara,"H. Vishwanath Babu
",Saraswati Talkies,Not Known,"Dommeti Suryanarayana, ",Romance,"
",1930,1661
Mohini Rukmangada,"C. Narasimha Rao
",National Movietone,Not Known,Vemuri Gaggaiah,Mythology,"
",1930,1662
Nara Narayana,"C. Narasimha Rao
",,Not Known,"Adhanki Srirama Murthy, P. Rama Thilakam, Pulipati Venkateswarlu",Devotional,"
",1930,1663
Rukmini Kalyanam,"R. Nataraja Mudaliar
",Sri Bharatha Lakshmi Pictures,Not Known,K. Raghuramaiah,Devotional,"
",1930,1664
Sarangadhara,P. Pullaiah,Star Combines,Not Known,Banda Kanakalingeshwara Rao,Devotional,"
",1930,1665
Vijayadashami,"
",,Not Known,,,"
",1930,1666
Vipra Narayana,"Ahindra Chaudhari
",Arora Pictures,Not Known,"Kasturi Narasimha Rao, ",Devotional,"
",1930,1667
Bhakta Jayadeva,"Hiren Bose
",Andhra Cinetone,Not Known,Surabhi Kamalabai,Devotional,"
",1930,1668
Bhakta Markandeya,C. Narayana Murthy,Kubera Films,Not Known,Vemuri Gaggaiah,Devotional,"17 June 1938
",1930,1669
Chal Mohana Ranga,C. Pullaiah,Andhra Talkies,Not Known,"Valli Subba Rao, ",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930,1670
Chitranaleeyam,"D. Rami Reddy
",Kubera Films,Not Known,Banda Kanakalingeshwara Rao,Mythology,"
",1930,1671
Gruhalakshmi,H. M. Reddy,Rohini Pictures,Not Known,Chittor V. Nagaiah,Drama,"12 March 1938
",1930,1672
Gulebakavali,"Kallakoori Sadasiva Rao
",Paramount Film Company,Not Known,B. Jayamma,Fantasy,"
",1930,1673
