Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year,index
Gandhara Golam,Singeetham Srinivasa Rao,,,Mohan Babu,,,1980,917
Gayyali Gangamma,Beeram Mastan Rao,Tirupathi International,,Suryakantham,,,1980,918
Guru,I. V. Sasi,,,Kamal Haasan,,,1980,919
Harischandrudu,U. Viswesar Rao,,,Prabhakar Reddy,,,1980,920
Jathara,D. Havala Satyam,,,Chiranjeevi,,,1980,921
Kaali,I. V. Sasi,Sujatha Films private Ltd,,Rajinikanth,,,1980,922
Kaksha,V. C. Guhanathan,Suresh Productions,,Sobhan Babu,,,1980,923
Kaliyuga Ravanasurudu,Bapu,Raja Lakshmi Cine Art Creations,,"Surapaneni Sridhar, ",,,1980,924
Kiladi Krishnudu,Vijaya Nirmala,Sangamam Art Pictures,,Krishna Ghattamaneni,,,1980,925
Kodallu Vastunnaru Jagratha,Katta Subba Rao,Vishnupriyaa Productions,,Sobhan Babu,,,1980,926
Kotha Jeevithalu,Bharatiraja,,,Suhasini,,,1980,927
Kottapeta Rowdy,P. Sambasiva Rao,Satya Chitra International,,Krishna Ghattamaneni,,,1980,928
Love in Singapore,Baby,SVS Films,,Ranganath,,,1980,929
Maa Bhoomi,Gautam Ghose,,,Sai Chand,,,1980,930
Mahalakshmi,Rajachandra,Sri Kumaraswamy Films,,Sobhan Babu,,,1980,931
Manavude Mahaneeyudu,P. Chandrashekar Reddy,,,Sobhan Babu,,,1980,932
Mayadari Krishnudu,R. Thyagarajan,Devar Films,,Rajinikanth,,,1980,933
Mogudu Kaavali,Katta Subba Rao,Charitra Chitra,,Chiranjeevi,,,1980,934
Moodu Mulla Bandham,Muthyala Subbaiah,Gomatha Art Creations,,Sarath Babu,,,1980,935
Mosagadu,K. Raghavendra Rao,Sri Kranthi Chitra Productions,,Chiranjeevi,,,1980,936
Nakili Manishi,S. D. Lal,Ravi Chitra,,Chiranjeevi,,,1980,937
Nayakudu Vinayakudu,K. Pratyagatma,,,Akkineni Nageswara Rao,,,1980,938
Pilla Zamindar,Singeetham Srinivasa Rao,Annapurna Studios,,Akkineni Nageshwara Rao,,,1980,939
Prema Kanuka,K. Raghavendra Rao,Annapurna Studios,,Akkineni Nageswara Rao,,,1980,940
Prema Tarangalu,S. P. Chittibabu,Prabhu Chitra,,Krishnam Raju,,,1980,941
Punnami Naagu,Rajasekhar,AVM Studios,,Chiranjeevi,,,1980,942
Rakta Bandham,Aaluri Ravi,Ricoh Films,,Chiranjeevi,,,1980,943
Ram Robert Rahim,Vijaya Nirmala,,,Rajinikanth,,,1980,944
Ramudu Parasuramudu,M. S. Gopinath,Suresh Fine Arts,,Sobhan Babu,,,1980,945
Rowdy Ramudu Konte Krishnudu,K. Raghavendra Rao,,,N. T. Rama Rao,,,1980,946
Sankarabharanam,K. Viswanath,Purnodaya Art Creations,,J. V. Somayajulu,,,1980,947
Sannayi Appanna,Lakshmi Deepak,Sri Ramana Chitra,,Sobhan Babu,,,1980,948
Sarada Ramudu,K. Vasu,,,N. T. Rama Rao,,,1980,949
Sardar Papa Rayudu,Dasari Narayana Rao,Sri Annapurna International,,N. T. Rama Rao,,,1980,950
Sirimalle Navvindi,Vijaya Nirmala,,,Krishna,,,1980,951
